Time	Channel A	Channel B
(us)	(V)	(mV)

-5.00799979	-0.48228347	3.95238662
-5.00399979	-0.48228347	0.00000000
-4.99999979	-0.48228347	0.00000000
-4.99599979	-0.56256151	0.00000000
-4.99199979	-0.48228347	0.00000000
-4.98799979	-0.48228347	0.00000000
-4.98399979	-0.48228347	3.95238662
-4.97999979	-0.48228347	3.95238662
-4.97599979	-0.48228347	3.95238662
-4.97199979	-0.48228347	0.00000000
-4.96799979	-0.56256151	3.95238662
-4.96399979	-0.48228347	0.00000000
-4.95999979	-0.48228347	3.95238662
-4.95599979	-0.56256151	0.00000000
-4.95199979	-0.48228347	0.00000000
-4.94799979	-0.48228347	0.00000000
-4.94399979	-0.48228347	3.95238662
-4.93999979	-0.48228347	0.00000000
-4.93599979	-0.48228347	0.00000000
-4.93199979	-0.48228347	0.00000000
-4.92799979	-0.48228347	0.00000000
-4.92399979	-0.48228347	0.00000000
-4.91999979	-0.56256151	3.95238662
-4.91599979	-0.56256151	0.00000000
-4.91199979	-0.48228347	7.90477324
-4.90799979	-0.48228347	3.95238662
-4.90399979	-0.56256151	-7.90477324
-4.89999979	-0.48228347	3.95238662
-4.89599979	-0.48228347	3.95238662
-4.89199979	-0.48228347	-3.95238662
-4.88799979	-0.48228347	3.95238662
-4.88399979	-0.48228347	3.95238662
-4.87999979	-0.48228347	0.00000000
-4.87599979	-0.48228347	-3.95238662
-4.87199979	-0.48228347	3.95238662
-4.86799979	-0.56256151	0.00000000
-4.86399979	-0.48228347	0.00000000
-4.85999979	-0.56256151	0.00000000
-4.85599979	-0.48228347	3.95238662
-4.85199979	-0.48228347	-3.95238662
-4.84799979	-0.48228347	-3.95238662
-4.84399979	-0.48228347	11.85715961
-4.83999979	-0.48228347	7.90477324
-4.83599979	-0.56256151	-23.72970009
-4.83199979	-0.48228347	11.85715961
-4.82799979	-0.48228347	11.85715961
-4.82399979	-0.48228347	-31.64985275
-4.81999979	-0.56256151	23.72970009
-4.81599979	-0.48228347	0.00000000
-4.81199979	-0.48228347	-23.72970009
-4.80799979	-0.48228347	47.47477722
-4.80399979	-0.48228347	-23.72970009
-4.79999979	-0.48228347	-11.85715961
-4.79599980	-0.48228347	51.42716217
-4.79199980	-0.48228347	-43.52238846
-4.78799980	-0.48228347	3.95238662
-4.78399980	-0.56256151	47.47477722
-4.77999980	-0.48228347	-43.52238846
-4.77599980	-0.48228347	7.90477324
-4.77199980	-0.56256151	19.77731133
-4.76799980	-0.48228347	-15.82492638
-4.76399980	-0.48228347	19.77731133
-4.75999980	-0.56256151	-15.82492638
-4.75599980	-0.48228347	3.95238662
-4.75199980	-0.48228347	23.72970009
-4.74799980	-0.48228347	-27.69746399
-4.74399980	-0.48228347	7.90477324
-4.73999980	-0.56256151	0.00000000
-4.73599980	-0.48228347	-3.95238662
-4.73199980	-0.48228347	15.82492638
-4.72799980	-0.56256151	-19.77731133
-4.72399980	-0.48228347	3.95238662
-4.71999980	-0.48228347	15.82492638
