Time	Channel A	Channel B
(us)	(V)	(V)

-10.00799966	-0.16055611	0.00000000
-10.00399966	-0.16055611	0.00000000
-9.99999966	-0.16055611	0.00000000
-9.99599966	-0.16055611	0.00000000
-9.99199966	-0.16055611	0.00000000
-9.98799966	-0.16055611	0.00000000
-9.98399966	-0.16055611	0.00000000
-9.97999966	-0.16055611	0.00000000
-9.97599966	-0.16055611	0.00000000
-9.97199966	-0.16055611	0.00000000
-9.96799966	-0.16055611	0.00000000
-9.96399966	-0.16055611	0.00000000
-9.95999966	-0.16055611	0.00000000
-9.95599966	-0.16055611	0.00000000
-9.95199966	-0.16055611	0.00000000
-9.94799966	-0.16055611	0.00000000
-9.94399966	-0.16055611	0.00000000
-9.93999966	-0.16055611	0.00000000
-9.93599966	-0.16055611	0.00000000
-9.93199966	-0.16055611	0.00000000
-9.92799967	-0.16055611	0.00000000
-9.92399967	-0.16055611	0.00000000
-9.91999967	-0.16055611	0.00000000
-9.91599967	-0.16055611	0.00000000
-9.91199967	-0.16055611	0.00000000
-9.90799967	-0.16055611	0.00000000
-9.90399967	-0.16055611	0.00000000
-9.89999967	-0.16055611	0.00000000
-9.89599967	-0.16055611	0.00000000
-9.89199967	-0.16055611	0.00000000
-9.88799967	-0.16055611	0.00000000
-9.88399967	-0.16055611	0.00000000
-9.87999967	-0.16055611	0.00000000
-9.87599967	-0.16055611	0.00000000
-9.87199967	-0.16055611	0.00000000
-9.86799967	-0.16055611	0.00000000
-9.86399967	-0.16055611	0.00000000
-9.85999967	-0.16055611	0.00000000
-9.85599967	-0.16055611	0.00000000
-9.85199967	-0.16055611	0.00000000
-9.84799967	-0.16055611	0.00000000
-9.84399967	-0.16055611	0.00000000
-9.83999967	-0.16055611	0.00000000
-9.83599967	-0.16055611	0.00000000
-9.83199967	-0.16055611	0.00000000
-9.82799967	-0.16055611	0.00000000
-9.82399967	-0.16055611	0.00000000
-9.81999967	-0.16055611	0.00000000
-9.81599967	-0.16055611	0.00000000
-9.81199967	-0.16055611	0.00000000
-9.80799967	-0.16055611	0.00000000
-9.80399967	-0.16055611	0.00000000
-9.79999967	-0.16055611	0.00000000
-9.79599967	-0.16055611	0.00000000
-9.79199967	-0.16055611	0.00000000
-9.78799967	-0.16055611	0.00000000
-9.78399967	-0.16055611	0.00000000
-9.77999967	-0.16055611	0.00000000
-9.77599967	-0.16055611	0.00000000
-9.77199967	-0.16055611	0.00000000
-9.76799967	-0.16055611	0.00000000
-9.76399967	-0.16055611	0.00000000
-9.75999967	-0.16055611	0.00000000
-9.75599967	-0.16055611	0.00000000
-9.75199967	-0.16055611	0.00000000
-9.74799967	-0.16055611	0.00000000
-9.74399967	-0.16055611	0.00000000
-9.73999967	-0.16055611	0.00000000
-9.73599967	-0.16055611	0.00000000
-9.73199967	-0.16055611	0.00000000
-9.72799967	-0.16055611	0.00000000
-9.72399967	-0.16055611	0.00000000
-9.71999967	-0.16055611	0.00000000
-9.71599967	-0.16055611	0.00000000
-9.71199967	-0.16055611	0.00000000
-9.70799967	-0.16055611	0.00000000
-9.70399967	-0.16055611	0.00000000
-9.69999967	-0.16055611	0.00000000
-9.69599967	-0.16055611	0.00000000
-9.69199967	-0.16055611	0.00000000
-9.68799967	-0.16055611	0.00000000
-9.68399967	-0.16055611	0.00000000
-9.67999967	-0.16055611	0.00000000
-9.67599967	-0.16055611	0.00000000
-9.67199967	-0.16055611	0.00000000
-9.66799967	-0.16055611	0.00000000
-9.66399967	-0.16055611	0.00000000
-9.65999967	-0.16055611	0.00000000
-9.65599967	-0.16055611	0.00000000
-9.65199967	-0.16055611	0.00000000
-9.64799967	-0.16055611	0.00000000
-9.64399967	-0.16055611	0.00000000
-9.63999967	-0.16055611	0.00000000
-9.63599967	-0.16055611	0.00000000
-9.63199967	-0.16055611	0.00000000
-9.62799967	-0.16055611	0.00000000
-9.62399967	-0.16055611	0.00000000
-9.61999967	-0.16055611	0.00000000
-9.61599967	-0.16055611	0.00000000
-9.61199967	-0.16055611	0.00000000
-9.60799967	-0.16055611	0.00000000
-9.60399967	-0.16055611	0.00000000
-9.59999967	-0.16055611	0.00000000
-9.59599967	-0.16055611	0.00000000
-9.59199967	-0.16055611	0.00000000
-9.58799967	-0.16055611	0.00000000
-9.58399967	-0.16055611	0.00000000
-9.57999967	-0.16055611	0.00000000
-9.57599967	-0.16055611	0.00000000
-9.57199968	-0.16055611	0.00000000
-9.56799968	-0.16055611	0.00000000
-9.56399968	-0.16055611	0.00000000
-9.55999968	-0.16055611	0.00000000
-9.55599968	-0.16055611	0.00000000
-9.55199968	-0.16055611	0.00000000
-9.54799968	-0.16055611	0.00000000
-9.54399968	-0.16055611	0.00000000
-9.53999968	-0.16055611	0.00000000
-9.53599968	-0.16055611	0.00000000
-9.53199968	-0.16055611	0.00000000
-9.52799968	-0.16055611	0.00000000
-9.52399968	-0.16055611	0.00000000
-9.51999968	-0.16055611	0.00000000
-9.51599968	-0.16055611	0.00000000
-9.51199968	-0.16055611	0.00000000
-9.50799968	-0.16055611	0.00000000
-9.50399968	-0.16055611	0.00000000
-9.49999968	-0.16055611	0.00000000
-9.49599968	-0.16055611	0.00000000
-9.49199968	-0.16055611	0.00000000
-9.48799968	-0.16055611	0.00000000
-9.48399968	-0.16055611	0.00000000
-9.47999968	-0.16055611	0.00000000
-9.47599968	-0.16055611	0.00000000
-9.47199968	-0.16055611	0.00000000
-9.46799968	-0.16055611	0.00000000
-9.46399968	-0.16055611	0.00000000
-9.45999968	-0.16055611	0.00000000
-9.45599968	-0.16055611	0.00000000
-9.45199968	-0.16055611	0.00000000
-9.44799968	-0.16055611	0.01574803
-9.44399968	-0.16055611	0.00000000
-9.43999968	-0.16055611	0.00000000
-9.43599968	-0.16055611	0.00000000
-9.43199968	-0.16055611	0.00000000
-9.42799968	-0.16055611	0.00000000
-9.42399968	-0.16055611	0.00000000
-9.41999968	-0.16055611	0.00000000
-9.41599968	-0.16055611	0.00000000
-9.41199968	-0.16055611	0.00000000
-9.40799968	-0.16055611	0.00000000
-9.40399968	-0.16055611	0.00000000
-9.39999968	-0.16055611	0.00000000
-9.39599968	-0.16055611	0.00000000
-9.39199968	-0.16055611	0.00000000
-9.38799968	-0.16055611	0.00000000
-9.38399968	-0.16055611	0.00000000
-9.37999968	-0.16055611	0.00000000
-9.37599968	-0.16055611	0.00000000
-9.37199968	-0.16055611	0.00000000
-9.36799968	-0.16055611	0.00000000
-9.36399968	-0.16055611	0.00000000
-9.35999968	-0.16055611	0.00000000
-9.35599968	-0.16055611	0.00000000
-9.35199968	-0.16055611	0.00000000
-9.34799968	-0.16055611	0.00000000
-9.34399968	-0.16055611	0.00000000
-9.33999968	-0.16055611	0.00000000
-9.33599968	-0.16055611	0.00000000
-9.33199968	-0.16055611	0.00000000
-9.32799968	-0.16055611	0.00000000
-9.32399968	-0.16055611	0.00000000
-9.31999968	-0.16055611	0.00000000
-9.31599968	-0.16055611	0.00000000
-9.31199968	-0.16055611	0.00000000
-9.30799968	-0.16055611	0.00000000
-9.30399968	-0.16055611	0.00000000
-9.29999968	-0.16055611	0.00000000
-9.29599968	-0.16055611	0.00000000
-9.29199968	-0.16055611	0.00000000
-9.28799968	-0.16055611	0.00000000
-9.28399968	-0.16055611	0.00000000
-9.27999968	-0.16055611	0.00000000
-9.27599968	-0.16055611	0.00000000
-9.27199968	-0.16055611	0.00000000
-9.26799968	-0.16055611	0.00000000
-9.26399968	-0.16055611	0.00000000
-9.25999968	-0.16055611	0.00000000
-9.25599968	-0.16055611	0.00000000
-9.25199968	-0.16055611	0.00000000
-9.24799968	-0.16055611	0.00000000
-9.24399968	-0.16055611	0.00000000
-9.23999968	-0.16055611	0.00000000
-9.23599968	-0.16055611	0.00000000
-9.23199968	-0.16055611	0.00000000
-9.22799968	-0.16055611	0.00000000
-9.22399968	-0.16055611	0.00000000
-9.21999969	-0.16055611	0.00000000
-9.21599969	-0.16055611	0.00000000
-9.21199969	-0.16055611	0.00000000
-9.20799969	-0.16055611	0.00000000
-9.20399969	-0.16055611	0.00000000
-9.19999969	-0.16055611	0.00000000
-9.19599969	-0.16055611	0.00000000
-9.19199969	-0.16055611	0.00000000
-9.18799969	-0.16055611	0.00000000
-9.18399969	-0.16055611	0.00000000
-9.17999969	-0.16055611	0.00000000
-9.17599969	-0.16055611	0.00000000
-9.17199969	-0.16055611	0.00000000
-9.16799969	-0.16055611	0.00000000
-9.16399969	-0.16055611	0.00000000
-9.15999969	-0.16055611	0.00000000
-9.15599969	-0.16055611	0.00000000
-9.15199969	-0.16055611	0.00000000
-9.14799969	-0.16055611	0.00000000
-9.14399969	-0.16055611	0.00000000
-9.13999969	-0.16055611	0.00000000
-9.13599969	-0.16055611	0.00000000
-9.13199969	-0.16055611	0.00000000
-9.12799969	-0.16055611	0.00000000
-9.12399969	-0.16055611	0.00000000
-9.11999969	-0.16055611	0.00000000
-9.11599969	-0.16055611	0.00000000
-9.11199969	-0.16055611	0.00000000
-9.10799969	-0.16055611	0.00000000
-9.10399969	-0.16055611	0.00000000
-9.09999969	-0.16055611	0.00000000
-9.09599969	-0.16055611	0.00000000
-9.09199969	-0.16055611	0.00000000
-9.08799969	-0.16055611	0.00000000
-9.08399969	-0.16055611	0.00000000
-9.07999969	-0.16055611	0.00000000
-9.07599969	-0.16055611	0.00000000
-9.07199969	-0.16055611	0.00000000
-9.06799969	-0.16055611	0.00000000
-9.06399969	-0.16055611	0.00000000
-9.05999969	-0.16055611	0.00000000
-9.05599969	-0.16055611	0.00000000
-9.05199969	-0.16055611	0.00000000
-9.04799969	-0.16055611	0.00000000
-9.04399969	-0.16055611	0.00000000
-9.03999969	-0.16055611	0.00000000
-9.03599969	-0.16055611	0.00000000
-9.03199969	-0.16055611	0.00000000
-9.02799969	-0.16055611	0.00000000
-9.02399969	-0.16055611	0.00000000
-9.01999969	-0.16055611	0.00000000
-9.01599969	-0.16055611	0.00000000
-9.01199969	-0.16055611	0.00000000
-9.00799969	-0.16055611	0.00000000
-9.00399969	-0.16055611	0.00000000
-8.99999969	-0.16055611	0.00000000
-8.99599969	-0.16055611	0.00000000
-8.99199969	-0.16055611	0.00000000
-8.98799969	-0.16055611	0.00000000
-8.98399969	-0.16055611	0.00000000
-8.97999969	-0.16055611	0.00000000
-8.97599969	-0.16055611	0.00000000
-8.97199969	-0.16055611	0.00000000
-8.96799969	-0.16055611	0.00000000
-8.96399969	-0.16055611	0.00000000
-8.95999969	-0.16055611	0.00000000
-8.95599969	-0.16055611	0.00000000
-8.95199969	-0.16055611	0.00000000
-8.94799969	-0.16055611	0.00000000
-8.94399969	-0.16055611	0.00000000
-8.93999969	-0.16055611	0.00000000
-8.93599969	-0.16055611	0.00000000
-8.93199969	-0.16055611	0.00000000
-8.92799969	-0.16055611	0.00000000
-8.92399969	-0.16055611	0.00000000
-8.91999969	-0.16055611	0.00000000
-8.91599969	-0.16055611	0.00000000
-8.91199969	-0.16055611	0.00000000
-8.90799969	-0.16055611	0.00000000
-8.90399969	-0.16055611	0.00000000
